Postcode	age18_24	age25_34	age35_54	age_55	genderMale	employed	selfEmployed	student	eduLower	eduMid	eduUni	license	commuteBike	commutePT	commuteNS	distWork	usedUber	hhSize	hhChild	nbrCarHH	incLevel_30k	incLevel30_60k	incLevel60k	csMember	choice
3014	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	4	0	1	0	1	0	0	1	1	0
1011	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	4	0	1	0	1	0	0	1	1	3
1012	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0
2544	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	5	0	5	2	2	0	1	0	1	0
3523	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	2	0	1	0	1	0	1	0	1	4
2564	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	1	0	1	1	0	0	0	2
3583	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	2	0	1	0	2	0	0	1	0	0
2553	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	4	0	4	2	2	0	1	0	0	2
2521	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	3	0	5	3	2	0	1	0	0	0
2522	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	2	0	3	2	2	0	1	0	0	1
1096	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	5	0	2	0	2	0	1	0	0	2
1016	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	4
1060	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	4	0	5	3	3	0	1	0	0	3
3061	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	4	0	2	0	2	0	0	0	1	2
2562	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	5	0	4	3	3	0	0	1	1	3
1078	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	3	0	2	0	2	0	0	0	0	0
1063	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	4	0	1	0	2	1	0	0	1	0
2517	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	6	0	2	0	2	0	0	1	0	4
3086	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	4	0	2	0	1	1	0	0	0	3
2526	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	3	0	1	0	1	0	1	0	1	0
3584	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	2	0	3	0	1	0	0	0	0	0
3023	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	4	0	2	0	1	0	0	0	0	1
1034	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	4	0	6	2	2	1	0	0	1	1
3583	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	4	1	1	0	2	0	1	0	0	4
3526	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	2	0	2	0	2	0	0	1	0	3
3026	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1
3533	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	2	0	4	2	2	0	0	1	0	1
2542	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	5	0	4	1	3	0	1	0	1	0
1077	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	0	4	1	2	0	1	0	0	1
2543	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	5	0	4	2	2	0	1	0	0	2
3571	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	3	0	3	1	2	0	1	0	0	2
3068	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	4	0	1	0	2	0	1	0	1	3
3511	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	7	0	2	0	2	0	0	1	0	1
3085	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	2	0	2	1	2	1	0	0	0	2
3074	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	2	0	4	2	2	0	0	1	0	3
2512	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	4	0	1	0	2	0	1	0	0	0
3544	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	3	1	4	0	3	0	1	0	0	4
1018	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	2	1	1	0	2	0	1	0	0	0
1069	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	3	0	2	0	1	0	1	0	0	0
3531	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	1	2	0	1	0	1	0	0	1
1094	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	4	0	2	0	2	0	1	0	0	1
2592	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	2	0	2	0	2	1	0	0	0	2
1061	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	2	0	8	3	2	0	0	0	0	1
2533	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	7	0	1	0	1	0	1	0	0	0
3083	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	3	0	2	0	2	0	1	0	0	2
3059	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	4
3082	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	2	1	2	0	2	0	1	0	0	1
1021	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	3	0	1	0	1	0	1	0	0	2
3056	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	4	1	3	0	3	0	1	0	0	2
1087	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	5	0	2	0	2	0	0	1	0	4
3086	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	3	0	3	2	2	0	0	1	0	3
3043	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	3	1	2	0	2	0	0	0	0	0
1063	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	2	0	1	0	1	0	0	0	0	0
